Region 23 Avg IOU: 0.123636, Class: 0.474165, Obj: 0.441433, No Obj: 0.493211, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.106920, Class: 0.551687, Obj: 0.502468, No Obj: 0.495639, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.127127, Class: 0.390213, Obj: 0.558804, No Obj: 0.496570, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.064547, Class: 0.412930, Obj: 0.488201, No Obj: 0.495325, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.229482, Class: 0.571218, Obj: 0.465528, No Obj: 0.495050, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.096841, Class: 0.384051, Obj: 0.322240, No Obj: 0.495110, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.062293, Class: 0.572216, Obj: 0.438172, No Obj: 0.495578, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.152348, Class: 0.645339, Obj: 0.315066, No Obj: 0.493872, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.359959, Class: 0.691843, Obj: 0.602423, No Obj: 0.466820, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 23 Avg IOU: 0.319122, Class: 0.623069, Obj: 0.277047, No Obj: 0.492977, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 23 Avg IOU: 0.133730, Class: 0.288813, Obj: 0.320227, No Obj: 0.493362, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.116912, Class: 0.476990, Obj: 0.470902, No Obj: 0.494823, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.144332, Class: 0.414258, Obj: 0.391353, No Obj: 0.496157, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.102979, Class: 0.478860, Obj: 0.513474, No Obj: 0.493069, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.172066, Class: 0.651519, Obj: 0.435100, No Obj: 0.494338, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.121610, Class: 0.361552, Obj: 0.484618, No Obj: 0.497691, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.117128, Class: 0.688228, Obj: 0.495330, No Obj: 0.495184, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.204269, Class: 0.528314, Obj: 0.358869, No Obj: 0.495209, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.204374, Class: 0.319168, Obj: 0.486474, No Obj: 0.494757, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.206349, Class: 0.569731, Obj: 0.379947, No Obj: 0.494295, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.120121, Class: 0.650791, Obj: 0.487219, No Obj: 0.496847, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.160183, Class: 0.541612, Obj: 0.514967, No Obj: 0.494524, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.130216, Class: 0.617173, Obj: 0.539734, No Obj: 0.494330, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.267060, Class: 0.478695, Obj: 0.473713, No Obj: 0.493869, .5R: 0.400000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.066590, Class: 0.655164, Obj: 0.527196, No Obj: 0.492944, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.145713, Class: 0.482259, Obj: 0.358990, No Obj: 0.495429, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.081010, Class: 0.541124, Obj: 0.555904, No Obj: 0.494127, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.141699, Class: 0.455132, Obj: 0.424659, No Obj: 0.496279, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.246581, Class: 0.556738, Obj: 0.192584, No Obj: 0.467722, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 23 Avg IOU: 0.106187, Class: 0.622869, Obj: 0.582438, No Obj: 0.493250, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.114576, Class: 0.495985, Obj: 0.499208, No Obj: 0.493481, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.058127, Class: 0.670937, Obj: 0.610122, No Obj: 0.494577, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.109751, Class: 0.474378, Obj: 0.485113, No Obj: 0.496951, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.127842, Class: 0.508133, Obj: 0.475734, No Obj: 0.494577, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.216323, Class: 0.494641, Obj: 0.485716, No Obj: 0.494814, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.197592, Class: 0.452155, Obj: 0.482896, No Obj: 0.495376, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.175962, Class: 0.421496, Obj: 0.338083, No Obj: 0.494559, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.194789, Class: 0.622409, Obj: 0.481612, No Obj: 0.494501, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.119540, Class: 0.434588, Obj: 0.418829, No Obj: 0.494710, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.183733, Class: 0.657595, Obj: 0.367171, No Obj: 0.495491, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.167354, Class: 0.561112, Obj: 0.349678, No Obj: 0.493090, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.175583, Class: 0.481951, Obj: 0.401511, No Obj: 0.496261, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.135883, Class: 0.508568, Obj: 0.469324, No Obj: 0.493553, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.043983, Class: 0.415247, Obj: 0.450855, No Obj: 0.496645, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.152511, Class: 0.547513, Obj: 0.389335, No Obj: 0.493692, .5R: 0.000000, .75R: 0.000000,  count: 5
