218: 8.530363, 12.126818 avg, 0.000002 rate, 0.621421 seconds, 13952 images
219: 8.062574, 11.720393 avg, 0.000002 rate, 0.507837 seconds, 14016 images
220: 9.142977, 11.462651 avg, 0.000002 rate, 0.464941 seconds, 14080 images
221: 8.969635, 11.213349 avg, 0.000002 rate, 0.637643 seconds, 14144 images
222: 8.406712, 10.932686 avg, 0.000002 rate, 0.469715 seconds, 14208 images
223: 7.373646, 10.576782 avg, 0.000002 rate, 0.612462 seconds, 14272 images
224: 7.604360, 10.279540 avg, 0.000003 rate, 0.557293 seconds, 14336 images
225: 8.330924, 10.084679 avg, 0.000003 rate, 0.603490 seconds, 14400 images
226: 8.389813, 9.915192 avg, 0.000003 rate, 0.611460 seconds, 14464 images
227: 6.850633, 9.608736 avg, 0.000003 rate, 0.599956 seconds, 14528 images
228: 7.117805, 9.359643 avg, 0.000003 rate, 0.597487 seconds, 14592 images
229: 7.150852, 9.138763 avg, 0.000003 rate, 0.484904 seconds, 14656 images
230: 6.947894, 8.919677 avg, 0.000003 rate, 0.535100 seconds, 14720 images
231: 6.835100, 8.711219 avg, 0.000003 rate, 0.497471 seconds, 14784 images
232: 7.008542, 8.540951 avg, 0.000003 rate, 0.607966 seconds, 14848 images
233: 6.813550, 8.368211 avg, 0.000003 rate, 0.543681 seconds, 14912 images
234: 6.091925, 8.140582 avg, 0.000003 rate, 0.571050 seconds, 14976 images
235: 7.293281, 8.055852 avg, 0.000003 rate, 0.478508 seconds, 15040 images
236: 6.000750, 7.850342 avg, 0.000003 rate, 0.508398 seconds, 15104 images
237: 6.167046, 7.682012 avg, 0.000003 rate, 0.471383 seconds, 15168 images
238: 5.920764, 7.505887 avg, 0.000003 rate, 0.620083 seconds, 15232 images
239: 6.213800, 7.376678 avg, 0.000003 rate, 0.618270 seconds, 15296 images
240: 5.965654, 7.235576 avg, 0.000003 rate, 0.499982 seconds, 15360 images
241: 5.772301, 7.089249 avg, 0.000003 rate, 0.514607 seconds, 15424 images
242: 5.266158, 6.906940 avg, 0.000003 rate, 0.521358 seconds, 15488 images
243: 6.316118, 6.847857 avg, 0.000003 rate, 0.568605 seconds, 15552 images
244: 6.021205, 6.765192 avg, 0.000004 rate, 0.516533 seconds, 15616 images
245: 5.634592, 6.652132 avg, 0.000004 rate, 0.625493 seconds, 15680 images
246: 5.648958, 6.551815 avg, 0.000004 rate, 0.473376 seconds, 15744 images
247: 5.505954, 6.447228 avg, 0.000004 rate, 0.631063 seconds, 15808 images
248: 5.464452, 6.348951 avg, 0.000004 rate, 0.532257 seconds, 15872 images
249: 5.692310, 6.283287 avg, 0.000004 rate, 0.536238 seconds, 15936 images
250: 5.377763, 6.192735 avg, 0.000004 rate, 0.590016 seconds, 16000 images
251: 5.006097, 6.074071 avg, 0.000004 rate, 0.543261 seconds, 16064 images
252: 5.406710, 6.007335 avg, 0.000004 rate, 0.614869 seconds, 16128 images
253: 5.027599, 5.909361 avg, 0.000004 rate, 0.449729 seconds, 16192 images
